i,timestamp,Action,Start,End,Benef,Duration
9168,2020-07-18 07:03:00,SELL,9134.4,9135.98329105833,-1.58329105833036,20
9243,2020-07-18 08:18:00,SELL,9127.25,9133.800328530595,-6.550328530594925,34
9248,2020-07-18 08:23:00,SELL,9129.05,9133.253831356864,-4.203831356864612,29
9254,2020-07-18 08:29:00,SELL,9129.24,9123.940662687328,5.299337312671923,11
9259,2020-07-18 08:34:00,SELL,9127.99,9132.429920550845,-4.439920550845272,18
9263,2020-07-18 08:38:00,SELL,9125.61,9132.104848992612,-6.494848992611878,14
9309,2020-07-18 09:24:00,BUY,9172.24,9148.613308800079,-23.62669119992097,624
9332,2020-07-18 09:47:00,BUY,9167.76,9155.618782319307,-12.141217680693444,264
9339,2020-07-18 09:54:00,BUY,9168.79,9157.14451514245,-11.6454848575504,121
9454,2020-07-18 11:49:00,SELL,9163.58,9158.384982083178,5.195017916821598,6
9602,2020-07-18 14:17:00,SELL,9157.18,9164.213956420204,-7.033956420204049,35
9606,2020-07-18 14:21:00,SELL,9155.64,9163.73844855082,-8.09844855081974,31
9734,2020-07-18 16:29:00,SELL,9161.76,9165.806111639664,-4.04611163966365,3
9875,2020-07-18 18:50:00,BUY,9188.3,9177.332682101558,-10.967317898441252,55
9953,2020-07-18 20:08:00,SELL,9166.1,9177.23735810457,-11.137358104570012,12
10041,2020-07-18 21:36:00,SELL,9165.07,9170.344688778183,-5.27468877818319,17
10205,2020-07-19 00:20:00,BUY,9177.71,9172.15056011775,-5.5594398822486255,42
10288,2020-07-19 01:43:00,SELL,9163.0,9148.8850594408,14.114940559200477,88
10294,2020-07-19 01:49:00,SELL,9164.62,9154.274610157845,10.345389842155782,9
10312,2020-07-19 02:07:00,SELL,9162.97,9169.098279582828,-6.128279582828327,3
10340,2020-07-19 02:35:00,SELL,9165.29,9161.566926113883,3.7230738861180726,2
10348,2020-07-19 02:43:00,SELL,9160.51,9150.629696499003,9.880303500996888,28
10359,2020-07-19 02:54:00,SELL,9159.24,9149.429282489153,9.810717510847098,17
10539,2020-07-19 05:54:00,SELL,9143.71,9150.138348668075,-6.428348668076069,25
10543,2020-07-19 05:58:00,SELL,9142.0,9149.697514293013,-7.697514293013228,20
10552,2020-07-19 06:07:00,SELL,9145.48,9148.615518989733,-3.1355189897331,11
10691,2020-07-19 08:26:00,SELL,9147.06,9141.108138482134,5.9518615178658365,10
10697,2020-07-19 08:32:00,SELL,9147.76,9143.554403564895,4.20559643510569,4
10757,2020-07-19 09:32:00,SELL,9146.96,9149.521307362618,-2.561307362619118,10
10823,2020-07-19 10:38:00,SELL,9119.92,9138.020571902283,-18.100571902283264,355
10829,2020-07-19 10:44:00,SELL,9122.55,9136.237823590933,-13.687823590933476,53
10845,2020-07-19 11:00:00,SELL,9122.7,9133.1931957197,-10.493195719698633,36
10848,2020-07-19 11:03:00,SELL,9116.26,9132.504433397258,-16.244433397258035,33
10856,2020-07-19 11:11:00,SELL,9120.12,9130.278221884486,-10.158221884485101,13
10913,2020-07-19 12:08:00,SELL,9122.01,9113.99780389881,8.012196101190057,10
10935,2020-07-19 12:30:00,SELL,9115.15,9123.665714236668,-8.515714236667918,6
11070,2020-07-19 14:45:00,BUY,9132.13,9128.722395476882,-3.4076045231176977,17
11110,2020-07-19 15:25:00,BUY,9132.87,9130.467342198122,-2.4026578018783766,7
11374,2020-07-19 19:49:00,BUY,9162.75,9154.396889920112,-8.35311007988821,33
11609,2020-07-19 23:44:00,BUY,9213.95,9196.444466871219,-17.50553312878219,32
