i,timestamp,Action,Start,End,Benef,Duration
16691,2021-07-13 05:51:00,SELL,32806.99,32951.83780414123,-144.84780414123088,25
16697,2021-07-13 05:57:00,SELL,32817.42,32936.556271387264,-119.13627138726588,19
16759,2021-07-13 06:59:00,BUY,33060.45,33225.068806033494,164.6188060334971,10
17002,2021-07-13 11:02:00,SELL,33017.19,33184.38841987942,-167.19841987941618,38
17019,2021-07-13 11:19:00,SELL,33059.66,33130.12127985382,-70.46127985381463,19
17022,2021-07-13 11:22:00,SELL,33040.01,33126.207768487926,-86.1977684879239,15
17087,2021-07-13 12:27:00,SELL,32879.0,32651.100464912724,227.89953508727558,7
17127,2021-07-13 13:07:00,SELL,32459.61,32739.222398539787,-279.6123985397862,156
17143,2021-07-13 13:23:00,SELL,32510.09,32674.32100788624,-164.23100788623924,121
17429,2021-07-13 18:09:00,SELL,32694.24,32613.92836201778,80.31163798222042,23
17444,2021-07-13 18:24:00,SELL,32676.39,32598.421971122334,77.96802887766535,9
17447,2021-07-13 18:27:00,SELL,32660.99,32565.257838552076,95.73216144792605,14
17451,2021-07-13 18:31:00,SELL,32650.81,32545.929371883693,104.8806281163088,10
17511,2021-07-13 19:31:00,SELL,32302.35,32547.842666617722,-245.49266661772344,86
17518,2021-07-13 19:38:00,SELL,32393.01,32202.39611235587,190.61388764412914,23
17521,2021-07-13 19:41:00,SELL,32349.98,32512.39416793229,-162.41416793228927,75
17534,2021-07-13 19:54:00,SELL,32300.01,32476.14851430316,-176.13851430316208,20
17540,2021-07-13 20:00:00,SELL,32242.52,32457.59547532628,-215.07547532628087,14
17614,2021-07-13 21:14:00,BUY,32495.25,32466.986274665174,-28.263725334825722,2
17828,2021-07-14 00:48:00,SELL,32494.29,32340.307949904207,153.98205009579397,19
17844,2021-07-14 01:04:00,SELL,32410.18,32553.92480272746,-143.7448027274586,111
17848,2021-07-14 01:08:00,SELL,32333.23,32542.509680639258,-209.279680639258,107
17864,2021-07-14 01:24:00,SELL,32314.93,32482.058706582713,-167.12870658271277,22
