i,timestamp,Action,Start,End,Benef,Duration
9148,2021-07-08 00:08:00,SELL,33783.99,33470.13967316518,313.8503268348213,12
9187,2021-07-08 00:47:00,SELL,33330.0,32817.661729362626,512.3382706373741,408
9190,2021-07-08 00:50:00,SELL,33266.74,32690.844726433177,575.8952735668208,408
9196,2021-07-08 00:56:00,SELL,33249.24,32711.824706339565,537.4152936604332,402
9622,2021-07-08 08:02:00,SELL,32404.37,32904.11716695763,-499.7471669576298,267
9636,2021-07-08 08:16:00,SELL,32459.31,32776.26288332631,-316.9528833263066,253
9642,2021-07-08 08:22:00,SELL,32454.94,32741.325544298146,-286.3855442981476,135
9653,2021-07-08 08:33:00,SELL,32357.67,32681.309039594522,-323.63903959452364,29
9662,2021-07-08 08:42:00,SELL,32439.59,32633.224086888615,-193.63408688861455,16
9665,2021-07-08 08:45:00,SELL,32402.1,32620.12958423212,-218.02958423212112,13
10462,2021-07-08 22:02:00,SELL,32689.65,32853.91538956096,-164.26538956096192,81
10491,2021-07-08 22:31:00,SELL,32519.89,32754.876598292456,-234.98659829245662,48
10497,2021-07-08 22:37:00,SELL,32524.34,32733.799382488527,-209.4593824885269,41
10656,2021-07-09 01:16:00,SELL,32394.64,32563.286107277552,-168.6461072775528,9
11465,2021-07-09 14:45:00,BUY,33522.37,33333.00718321314,-189.36281678685918,255
13088,2021-07-10 17:48:00,SELL,33386.06,33686.40928870183,-300.3492887018292,307
13094,2021-07-10 17:54:00,SELL,33430.63,33095.06321634867,335.56678365132393,135
13104,2021-07-10 18:04:00,SELL,33428.27,33155.20026245626,273.0697375437376,124
13112,2021-07-10 18:12:00,SELL,33400.39,33129.949808859536,270.44019114046387,116
15522,2021-07-12 10:22:00,SELL,33835.88,33452.39240789132,383.48759210867865,127
15528,2021-07-12 10:28:00,SELL,33792.38,33383.00655019375,409.37344980624766,170
15533,2021-07-12 10:33:00,SELL,33836.88,33529.65134420135,307.22865579864447,84
15537,2021-07-12 10:37:00,SELL,33830.44,33535.684011125886,294.75598887411616,80
15554,2021-07-12 10:54:00,SELL,33752.58,33450.276222246015,302.30377775398665,95
15559,2021-07-12 10:59:00,SELL,33740.78,33448.106105199055,292.67389480094425,90
15563,2021-07-12 11:03:00,SELL,33694.72,33354.06953216273,340.650467837273,138
16098,2021-07-12 19:58:00,SELL,32791.89,33015.71903710247,-223.82903710247047,133
16356,2021-07-13 00:16:00,SELL,32880.0,33045.013006431145,-165.0130064311452,13
16676,2021-07-13 05:36:00,SELL,32790.06,33002.93386143131,-212.87386143131152,60
17002,2021-07-13 11:02:00,SELL,33017.19,33184.38841987942,-167.19841987941618,38
17127,2021-07-13 13:07:00,SELL,32459.61,32739.222398539787,-279.6123985397862,156
17143,2021-07-13 13:23:00,SELL,32510.09,32674.32100788624,-164.23100788623924,121
17511,2021-07-13 19:31:00,SELL,32302.35,32547.842666617722,-245.49266661772344,86
17521,2021-07-13 19:41:00,SELL,32349.98,32512.39416793229,-162.41416793228927,75
17534,2021-07-13 19:54:00,SELL,32300.01,32476.14851430316,-176.13851430316208,20
17540,2021-07-13 20:00:00,SELL,32242.52,32457.59547532628,-215.07547532628087,14
17848,2021-07-14 01:08:00,SELL,32333.23,32542.509680639258,-209.279680639258,107
17864,2021-07-14 01:24:00,SELL,32314.93,32482.058706582713,-167.12870658271277,22
18004,2021-07-14 03:44:00,SELL,31823.51,32232.22704127575,-408.7170412757514,319
18017,2021-07-14 03:57:00,SELL,31830.01,32136.721215098085,-306.71121509808654,305
18021,2021-07-14 04:01:00,SELL,31800.0,32114.20475051578,-314.20475051577887,300
18377,2021-07-14 09:57:00,BUY,32327.7,32574.456419595743,246.75641959574205,27
19881,2021-07-15 11:01:00,SELL,31922.44,31486.858432375266,435.581567624733,142
19885,2021-07-15 11:05:00,SELL,31923.9,31524.409337065917,399.49066293408396,138
19893,2021-07-15 11:13:00,SELL,31907.78,32149.0490405085,-241.26904050850135,49
19908,2021-07-15 11:28:00,SELL,31871.1,32077.74152629673,-206.64152629673117,34
19915,2021-07-15 11:35:00,SELL,31891.96,32053.27415851159,-161.3141585115918,27
19978,2021-07-15 12:38:00,SELL,31693.42,31894.557484296423,-201.1374842964251,47
19986,2021-07-15 12:46:00,SELL,31699.98,31864.149494285695,-164.1694942856957,39
